KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
Q_TWEMI_ALTAR_HEART_2,"[i]You strike again. The beat becomes irregular and weak…[/i]"
Q_TWEMI_ALTAR_HEART_3,"[i]With a final blow, the heart lies still and silent.[/i]\n\nDiscard this token."
Q_TWEMI_ALTAR_HEART_DAMAGE,"{0}\n\nRoll 2 red dice. Deal a total amount of ≥ equal to the ≥ rolled to any number of the monsters in your line of sight, distributed as you choose. For each ± rolled, choose 1 monster in your line of sight to become Stunned."
Q_TWEMI_ALTAR_UNDEAD,"[i]Wretched creatures drag themselves from the far side of the altar—you try not to pay attention to their wounds.[/i]\n\nPlace zombies as shown."
Q_TWEMI_ALTAR_CULTISTS,"[i]Pale men and women crawl from large holes in the floor, walls, and ceiling, crazed smiles on their faces.[/i]\n\nPlace changelings as shown, ignoring group limits."
Q_TWEMI_ALTAR_LOCKED_DOOR,"[i]Beyond this door, you hear the clamor of a rowdy crowd and large creatures exchanging blows. The door, however, is secure.[/i]"
Q_TWEMI_PIT_TILES,"Place 55B, 56B, 62B, 1 end cap, 1 Exit, and 1 portcullis."
Q_TWEMI_PIT_REVELERS,"[i]Revelers stumble about this room, watching two great beasts exchange blows in the adjoining room. Through dark-iron bars, you watch the two demonic creatures tear into each other. Atop the platform to your right, the proprietor of the inn, transformed by some evil sorcery, watches with bloodthirsty eyes.[/i]\n\nPlace Flesh Moulders as shown, ignoring group limits. The master is the proprietor.\n\n{0}"
Q_TWEMI_PIT_HULK,"Place 1 Ynfernael Hulk, ignoring group limits."
Q_TWEMI_PIT_PROPRIETOR_NAME,"The Proprietor"
Q_TWEMI_PIT_PROPRIETOR_RULES,"The Proprietor has bonus Health."
Q_TWEMI_PIT_DEMONS,"[i]While one of the demons manifests the raw form of its true being, the other has taken on a warped variation of a merriod. Perhaps this creature is the source of everything that goes on here: the disappearances, the ynfernael portal, the unexplained prosperity, the abominations.\n\nThe creature must be stopped.[/i]\n\nPlace 1 master Merriod as shown, ignoring group limits. This is the Demonic Gladiator.\n\n{0}"
Q_TWEMI_PIT_DEMONS_NAME,"Demonic Gladiator"
Q_TWEMI_PIT_DEMONS_INFO,"The Demonic Gladiator has bonus Health."
Q_TWEMI_PIT_PORTCULLIS_REMOVE,"[i]The demonic Merriod steps forward, and with a single sweep of a tentacle, clears the bars from the gateway.[/i]\n\nRemove the portcullis from the map."
Q_TWEMI_PIT_LOCKED_DOOR_REMOVE,"[i]The proprietor yanks a metal bar from the door behind him and tugs the door open.[/i]\n\nRemove the locked door from the map."
Q_TWEMI_PIT_WIN,"[i]The creature does not die, but as you sever the last of the tentacles from its frame, it stumbles back. Its red eyes bore into {0}, searching, weighing.[/i]\n\n{0} tests π."
Q_TWEMI_PIT_WIN_PASS,"[i]{0} stares back into the creature's eyes, defiant and strong. As the illusion begins to fade and the demon's true form struggles to the surface, it slinks back into the darkness that lies below.\n\nGreen{1}"
Q_TWEMI_PIT_WIN_FAIL,"[i]{0} stares back into the creature's eyes, but the gaze shifts from defiant to mesmerized. You shake your companion free from the enchantment and the demon gives a husky laugh. Turning back you find that the creature is gone. You eye the dark passage, but green{1}"
Q_TWEMI_PIT_WIN_FINAL," fire begins to lick up from the cracks in the stone, consuming this world around you. You hurry back through the portal, and a few minutes later, you walk from the front gate of the inn. On a far hill, you turn and watch the inn burn, a blaze of red and green.[/i]\n\nYou win!"
Q_TWEMI_PIT_MAP_LOSE,"[i]A few days after your arrival, a division of soldiers marches on the inn. Clad in dark-iron, they manage to repel the demonic defenders and free many from the dark realm before closing the portal. Lucky for you, you were one of those they were able to free."

//Mad Moriden's Tower
Q_MMT_MAP,"[u]Mad Moriden's Tower[/u]\n\n[i]Not so long ago, Mad Moriden's tower saved this vale. Now, however, its function has been reversed, and it is quickly resummoning the doom it had repelled."
Q_MMT_PREFACE,"[i]Years ago, following a late-summer flood, many bodies emerged from a mass, unmarked grave. There was more below the surface, however. Before the locals even knew they were there, a colony of corpse bugs escaped the pit and soon began to multiply. A local hermit, powerful yet shunned, quickly crafted a tower to repel the vermin. The dark structure came to life late one evening, rumbling and spewing green fumes in every direction.\n\nBy the next morning, the majority of the bugs had fled, and those that did not, perished. The sorcerer was never seen again, and a few years later, the tower fell silent—that is, until recently."
Q_MMT_TILES,"Set aside tiles 78 (x2), 81, 82, 83, 85, 86, and 87."
Q_MMT_FLAVOR,"[i]The crude structure juts up from the diseased forest that surrounds it. Green fumes sprout from its pinnacle, but unlike those of the story, these clouds of emerald green have a sweet smell and taste.\n\nPerhaps that is why the corpse bugs have returned… and a hundred other variations of vermin with them!\n\nIt is time to dismantle the machine."
Q_MMT_INTRO_TILES,"Place 81A, 83A, 1 end cap, 1 Entrance, 2 old walls, and 1 door. Place the heroes on the Entrance."
Q_MMT_CLIFF_TILES,"Place 78A, 85A, 86A, 1 extender, 3 end caps, and 1 locked door."
Q_MMT_FINAL_TILES,"[i]The small, moldy door barely holds together as you push it open. Flickering light illuminates the room on the other side. You hear the skitter of innumerable corpse bugs swarming across the walls and ceiling. Lucky for you, most of the floor remains clear.[/i]\n\nPlace 78B, 82B, 87B, and 1 door."
Q_MMT_OBJECTIVE_1,"Locate an entrance to the tower."
Q_MMT_OBJECTIVE_2,"Enter the tower."
Q_MMT_OBJECTIVE_3,"Disable the machine or defeat its operator."
Q_MMT_MONSTER_PLACEMENT_CLIFF,"Place the {0} group on 85A."
Q_MMT_MONSTER_PLACEMENT_REANIMATES,"Place Reanimates as shown, ignoring group limits."
Q_MMT_FINAL_SPLIG,"[i]High on the far wall, you spot a figure through a series of small windows. He runs to and fro across the small chamber, turning gears and yanking levers—his motions are so quick, he is either highly proficient in the operation of the machine or is confident in random selection.[/i]"
Q_MMT_INTRO_STATUE,"[i]An intricate statue of an elderly woman. In one hand she wields a sword, in the other a rune. She stands tall and confident in the face of an unrepresented foe. A chunk of her plate armor has been hacked away, revealing a switch hidden underneath.[/i]\n\nThis statue blocks movement and line of sight.\n\nAn adjacent hero can spend 1 movement point to flip the switch."
Q_MMT_UI_FLIP,"Flip Switch"
Q_MMT_MORE_STATUES,"[i]More statues of the elderly warrior inhabit this place.[/i]\n\nPlace 3 villager tokens as shown."
Q_MMT_CLIFF_STATUE,"[i]The elderly warrior watches over this area. Another section of this statue has been chipped away, but the switch inside appears to be jammed.[/i]\n\nThis statue blocks movement and line of sight.\n\nAs an action, an adjacent hero can test ∂ or π to flip this switch."
Q_MMT_CLIFF_STATUE_FAIL,"[i]You strain against the small device. It takes you longer than expected, but at last it gives way.[/i]\n\nThe hero who flipped the switch suffers 3 ∏."
Q_MMT_OLD_STATUE,"[i]This statue appears to be a first attempt, which was soon abandoned. The half-finished statue rests against the wall, covered in vines and moss.[/i]\n\nThis statue blocks movement and line of sight.\n\nAn adjacent hero can spent 1 movement point to examine the statue."
Q_MMT_OLD_STATUE_FALL,"[i]You run your hand along the bottom, hunting for a hidden switch. Unfortunately, you miscalculated the precarious placement of the statue. The small nudge sends the colossus toppling into the muck![/i]\n\nDiscard this token and place 5 crumbling terrain tokens as shown."
Q_MMT_OLD_STATUE_NO,"[i]Having revealed the secret passage, you no longer have any use for this statue.[/i]\n\nDiscard this token."
Q_MMT_FINAL_STATUE,"[i]The last statue is sculpted in a defensive posture, raising a large shield in your direction. The location of the hidden switch, assuming it has one, is not immediately obvious.[/i]\n\nThis statue blocks movement and line of sight.\n\nAs an action, an adjacent hero can test μ or ∑ to locate the switch."
Q_MMT_FLIP_1,"[i]You hear the crackle of energy above you, and a stream of blue light springs down the tower, landing on the far side.[/i]\n\nDiscard this token."
Q_MMT_FLIP_2,"[i]A bolt of red light streams down from the top of the tower and lands in the murky pool of liquid on the north side. An orb of red light pulses somewhere beneath the surface.[/i]\n\nDiscard this token."
Q_MMT_FLIP_2_MONSTERS,"[i]Awaken by the jolt, {0} rise from the muck.[/i]\n\nPlace the {1} group on 86A."
Q_MMT_FLIP_3,"[i]You hear the familiar snap of energy sound above you and a thunderous bolt of energy sinks into the murky liquid at your feet.[/i]\n\nEach figure in a water or sludge space on 86A suffers 1 ≥ and moves to the closest non-terrain space.\n\n[i]Beneath the barely churning muck, an orb of blue begins to glow.[/i]\n\nDiscard this token."
Q_MMT_FLIP_DONE,"[i]As the third circle of light begins to pulse, you hear stone scraping across stone. Great pockets of air bubble through the sludge as it begins to recede. At the same time, two stone slabs crest the surface. In only a few moments, the last of the sludge disappears and you are looking down into a secret passage. A damp and moldy door at one end leads to the bowels of the tower…"
Q_MMT_FLIP_TILES,"Place 2 Entrances, 1 end cap, and 1 door. If necessary, discard any crumbling terrain tokens on water spaces.\n\nFigures ignore the black borders of these tiles where the borders meet other tiles and also ignore any water terrain beneath these tiles. A figure on an Entrance can spend 1 movement point to move to the adjacent Entrance"
Q_MMT_BUGS,"[i]The mass of corpse bugs on the ceiling grows too large to support its own weight—an entire swath of the swarming brood drops at once![/i]\n\nEach hero in or adjacent to the indicated space suffers 1 ≥.\n\nThen each hero tests π. Each hero who fails is Terrified."
Q_MMT_CLIFF_LOCKED_DOOR,"[i]An endless stream of vermin slides in and out beneath this door, but the solid iron door appears to be unbreachable for you. Perhaps there is another way in…"
CRUMBLING_TERRAIN_1,"Place 1 crumbling terrain token as shown."
CRUMBLING_TERRAIN_MULTI,"Place {0} crumbling terrain tokens as shown."
Q_MMT_INSIDE_STACK_PLACE,"[i]Six long tubes of steel stretch from the floor up into the ceiling three stories above. They rattle and spew forth green fumes at the joints. Destroying these may disable the machine.[/i]\n\nPlace 6 objective tokens facedown as shown. These are smoke stacks.\n\nSmoke stacks can be targeted and affected by attacks as if they were monsters. Each has 6 Health and rolls {0}"
Q_MMT_INSIDE_STACK_RULE,"This smoke stack can be targeted and affected by attacks as if it was a monster. It has 6 Health and rolls {0}"
Q_MMT_INSIDE_STACK_RULE_ACT_1,"1 gray defense die."
Q_MMT_INSIDE_STACK_RULE_ACT_2,"2 gray defense dice."
Q_MMT_INSIDE_STACK_FALL,"[i]Unable to sustain any more damage, the long tube moans and screeches as it implodes in on itself and then shuts down.[/i]\n\nDiscard this token."
Q_MMT_INSIDE_REINFORCEMENT,"Place the {0} group on 87B."
Q_MMT_INSIDE_MONSTERS,"Place Bone Horrors and Broodwalkers as shown, ignoring group limits."
Q_MMT_INSIDE_SPLIG,"[i]""What is going on out here?"" Splig shouts{0}. He scans the large room, taking in the slain monsters, the shaky smoke stacks, and the pesky heroes. ""Heh, the smog really does attract every type of vermin, doesn't it?"" he says with a smirk. He glances to both sides, expecting a laugh from his entourage, but finds himself alone. His expression grows serious, and he bounds forward, club in hand.[/i]\n\nRemove the door and place Splig as shown. Splig has bonus Health."
BLANK,""
Q_MMT_INSIDE_SPLIG_CRASH,", crashing through the far door"
Q_MMT_INSIDE_SPLIG_BONUS,"Splig has bonus Health."
Q_MMT_INSIDE_SPLIG_DEFEAT,"[i]""It doesn't even matter!"" Splig shouts, retreating toward the corner. ""You want to tear it down? Go for it—I'm out of here!"" He turns, throwing his weight against the locked door. It buckles before him, and in an instant he is gone. With little other opposition, you spend the next few minutes carefully shutting down the machine.[/i]\n\nYou win!"
Q_MMT_INSIDE_WIN,"[i]The last stack buckles and breaks with a great clatter. The tower grows quiet; even the corpse bugs stop their swarming dance. You had not suspected the stacks were load bearing, but as the ceiling splits above you, you do not linger on the matter, but bolt for the door![/i]\n\nYou win!"
Q_MMT_INSIDE_LOSS,"[i]After nursing your wounds, you trudge back to town, embarrassed by your failure. The locals, too, are disappointed. The day after, with the promise of your help, they call for volunteers and march on the tower. You spend the next few hours pulling the same over-zealous volunteer from the sludge and driving back the swarms of bugs. Eventually you enter the tower and get to work dismantling the machine. When the job is done, the villagers pack up and hurry away, offering little more than a thank you."
Q_MMT_SEARCH_1,"[i]A heap of dead corpse bugs."
Q_MMT_SEARCH_2,"[i]The contents of this camp site have been mostly devoured."
Q_MMT_SEARCH_3,"[i]A small container floats away, but very slowly."
Q_MMT_SEARCH_4,"[i]Something juts out from an old, hollow tree."
Q_MMT_SEARCH_5,"[i]A bloated body is trapped beneath the sludge."
Q_MMT_SEARCH_6,"[i]A large pile of chains."
Q_MMT_SEARCH_7,"[i]The corpse bugs have eaten through the wall here."
Q_MMT_SEARCH_8,"[i]A large assortment of tools lie upon this table."

//Quest: Pest Control
Q_PC_MAP,"[u]Pest Control[/u]\n\n[i]An ornery artificer has created a device to clear out a lair plagued with vermin and fouler creatures. Unfortunately, his device is as temperamental as himself…"
Q_PC_LOSE,"[i]In a mad dash to escape, your device doesn't manage to keep up. Though you failed to deliver it and clean out the infestation, at least you're free of the blasted contraption."
Q_PC_PREFACE,"[i]You wouldn't have thought a small arcane orb could have been so… temperamental. Though you were assured that the device would simply hover in the direction of its objective and you could exert a measure of will to direct it, your experience proved otherwise.\n\nDuring your short journey, the blasted thing had a tendency to wander off at random or cower behind you in the face of vague danger. "
Q_PC_ALL_TILES,"Set aside tiles  3, 4, 5, 6, 9, 15, 21, and 25."
Q_PC_INTRO_FLAVOR,"[i]The orb eventually leads you to a tunnel system beneath a crumbling fortress. The device seems to be moving faster now; perhaps in being close to its ultimate purpose, it will behave a little more properly.[/i]"
Q_PC_START_TILES,"Place 1 Entrance, 15B, 9B, 25B, 1 end cap, and 1 door. Place the heroes on the Entrance."
Q_PC_START_BOMB,"Place 1 white objective token as shown. This is the device. As an action, once per round, an adjacent hero may test ∑ or π to move the device forward."
Q_PC_OBJECTIVE,"Escort the bomb to its final destination."
Q_PC_START_REINFORCE,"Place 1 {0} on 15B."
Q_PC_VERMIN,"Place the {0} group on 21B."
Q_PC_PLACEMENT_1,"Place the {0} group on 25B."
Q_PC_PLACEMENT_2,"Place the {0} group on 4B."
Q_PC_PLACEMENT_3,"Place the {0} group on 6B."
Q_PC_PLACEMENT_4,"Place the {0} group on 5B."
Q_PC_PLACEMENT_5,"Place the {0} group on 15B."
Q_PC_BOMB_TEST,"As an action, an adjacent hero may test ∑ or π to move the device forward."
Q_PC_BOMB_MOVE,"[i]Arcane runes flash upon the device as it surges forward.[/i]\n\nRemove and place the white objective token as shown."
Q_PC_BOMB_STAY,"[i]You attempt to impose your will upon the blasted contraption, but it hovers in place, ignoring you.[/i]"
Q_PC_BOMB_DOOR,"[i]The device bumps into the nearby door, bobs up and down a couple of times, then bumps into the door again. [/i]"
Q_PC_CAVES_TILES,"Place 4B, 6B, 1 extender, and 1 door."
Q_PC_ARCHIVE_TILES,"Place 3B, 5B, 21B, and 3 end caps."
Q_PC_SEWER_TILES,"Place 20B, 21B, and 1 end cap."
Q_PC_SEWER_FLAVOR,"[i]The rooms ahead are covered in various filth and detritus cobbled together into some horrible kind of nest. As the door booms open, dull light pulses within the device, and you hear soft chittering ahead. This must be the place."
Q_PC_BOMB_BOOM,"[i]Spinning rapidly, the device floats toward the ground, and a high-pitched whine fills the air. This seems like the perfect time to run.\n\nAs you reach the exterior, a massive detonation sends you sprawling to the ground. You scramble for cover as the fortress collapses behind you with a roar of crashing stone.[/i]\n\nYou win!"
Q_PC_SEARCH_1,"[i]A corpse embedded in the webbing clutches a satchel.[/i]"
Q_PC_SEARCH_2,"[i]Discarded mining tools lie in the corner.[/i]"
Q_PC_SEARCH_3,"[i]Dead adventurers surround an inert metallic sphere eerily reminiscent of your own device.[/i]"
Q_PC_SEARCH_4,"[i]A small offering box sits near the altar.[/i]"
Q_PC_SEARCH_6,"[i]A small pile of metallic spheres lie upon the floor along with other trinkets."
Q_PC_SEARCH_5,"[i]The vermins' nest has been cobbled together from an enormous amount of refuse."
Q_PC_SEARCH_TRAP,"[i]As you draw near the treasure, the light in this room becomes blood red and you can feel something evil scratching at the core of your mind, trying to obtain entry.[/i]\n\nEach hero on the tile with this search token tests π. Each hero who fails suffers ≥ equal to his π."


//Quest: Temple of the Elemental Dragon
Q_TOTED_MAP,"[u]Temple of the Elemental Dragon[/u]\n\n[i]Where only barren land stood a few weeks ago, a gleaming temple dedicated to the elements appeared. Several brave souls have ventured inside to discover the secrets it holds, but none have returned."
Q_TOTED_LOSE,"[i]You stumble out of the temple, intending to bind your wounds and return to finish your task. However, as you turn back to face potential pursuit, you find only barren landscape; the temple has vanished."
Q_TOTED_ALL_TILES,"Set aside tiles 8, 9, 12, 31, 32, 34, and 35."
Q_TOTED_PREFACE,"[i]Very little grows in the surrounding lands, and you observe few animals of any kind. In spite of the bright, gleaming white and gold stone of the temple before you, a deep sense of unease fills you."
Q_TOTED_INTRO_FLAVOR,"[i]You descend into the temple, ready to face whatever you find."
Q_TOTED_INTRO_TILES,"Place 34B, 32B, 1 end cap, 1 Entrance, 1 door, and 1 locked door. \n\nPlace the heroes on the Entrance."
Q_TOTED_HYBRIDS,"Place Dragon Hybrids as shown."
Q_TOTED_INTRO_OPEN,"Place the {0} group on 32B."
Q_TOTED_DOOR_LOCKED,"This door is locked and cannot be opened."

Q_TOTED_WHITE_REVEAL,"[i]A white bow lies upon a pedestal ahead, and a howling wind swirls around it.[/i]\n\n This is an ethereal weapon: the Wind Bow. As an action, an adjacent hero can pick up the Wind Bow."
Q_TOTED_WHITE_TAP,"[i]Intense wind swirls around the white bow upon the pedestal.[/i]\n\nAs an action, an adjacent hero can pick up the Wind Bow."
Q_TOTED_WHITE_PICKUP,"[i]As you grasp the soft leather of the grip, the external wind dies in an instant, but inside you feel the overwhelming urge to abandon everything: to run, to fly, to cast yourself from the highest peak and soar with the winds.[/i]\n\nPlace the token on your Hero sheet."

Q_TOTED_BLUE_REVEAL,"[i]A two-tiered fountain emits crystal clear water into its basin. At the apex of the fountain stands a polished silver kite shield.[/i]\n\nThis is an ethereal weapon: the Water Shield. As an action, an adjacent hero can pick up the Water Shield."
Q_TOTED_BLUE_TAP,"[i]Soft mist fills the air around the fountain and the shield.[/i]\n\nAs an action, an adjacent hero can pick up the Water Shield."
Q_TOTED_BLUE_PICKUP,"[i]The fountain flow stops as you pick up the shield, but a sensation of crushing pressure, the inability to breath, and a deep, unyielding cold fills your entire being.[/i]\n\nPlace the token on your Hero sheet."

Q_TOTED_RED_REVEAL,"[i]A blazing pyre radiates intense heat into the entire room, but the wood remains fresh and is not consumed by it. Within the flame lies a spiked flail made of blackened iron.[/i]\n\nThis is an ethereal weapon: the Fire Flail. As an action, an adjacent hero can pick up the Fire Flail."
Q_TOTED_RED_TAP,"[i]The heat from the pyre is uncomfortable but seems to be the same intensity no matter where you stand in the room. The flail within the fire seems to call to you.[/i]\n\nAs an action, an adjacent hero can pick up the Fire Flail."
Q_TOTED_RED_PICKUP,"[i]The pyre snuffs out, leaving not a trace of smoke, but every fiber of your being blazes with sudden, maddening intensity. Thin wisps of smoke rise from your skin.[/i]\n\nPlace the token on your Hero sheet."

Q_TOTED_GREEN_REVEAL,"[i]A moss-covered boulder lies in the corner, odd and out of place. Atop the boulder sits a small wand of light wood, perhaps ash or birch.[/i]\n\nThis is an ethereal weapon: the Earth Wand. As an action, an adjacent hero can pick up the Earth Wand."
Q_TOTED_GREEN_TAP,"[i]A quiet calm surrounds the smooth stone and the wand it holds, as if the surrounding conflict has no meaning.[/i]\n\nAs an action, an adjacent hero can pick up the Earth Wand."
Q_TOTED_GREEN_PICKUP,"[i]The boulder cracks down the middle as you lift the wand away. A vast, inevitable weight seems to settle around your shoulders, bending you toward the ground.[/i]\n\nPlace the token on your Hero sheet."

Q_TOTED_LAVA_TILES,"Place 12B, 9B, 1 door, and 1 locked door."
Q_TOTED_LAVA_OPEN,"Place the {0} group on 12B."

Q_TOTED_WORKSHOP_TILES,"Place 35B, 8B, 1 end cap, and 1 door."
Q_TOTED_WORKSHOP_GHOSTS,"[i]Four ethereal warriors, all female, stand at the back wall. Immediately noticing your entrance, they beckon you forward in silence. Desperation lies etched across their ghostly features as they gesture at your armaments, at their own empty hands, and finally at the ornate door nearby.[/i]\n\nPlace 4 villager tokens as shown. These are the ethereal warriors.\n\nAs an action, an adjacent hero carrying an ethereal weapon can offer it to an ethereal warrior."
Q_TOTED_WORKSHOP_GHOSTS_2,"Each ethereal warrior is connected with a particular weapon. When a hero offers a weapon, the ethereal warrior will take it and depart, even if it is not the weapon that they are connected with."
Q_TOTED_UI_WHITE,"Wind Bow"
Q_TOTED_WHITE_CHECK,"Are you certain you wish to give this warrior the Wind Bow?"
Q_TOTED_UI_BLUE,"Water Shield"
Q_TOTED_BLUE_CHECK,"Are you certain you wish to give this warrior the Water Shield?"
Q_TOTED_UI_RED,"Fire Flail"
Q_TOTED_RED_CHECK,"Are you certain you wish to give this warrior the Fire Flail?"
Q_TOTED_UI_GREEN,"Earth Wand"
Q_TOTED_GREEN_CHECK,"Are you certain you wish to give this warrior the Earth Wand?"
Q_TOTED_WORKSHOP_HYBRIDS,"Place the Dragon Hybrids group on 8B."
Q_TOTED_UI_BACK,"Back"

TOTED_WORKSHOP_GHOSTS_1A,"[i]A plaque on the wall reads:\n\n""Four sisters are we, born together in this crypt of kingdoms.\nAsha, the first, runs yet is never weary.\nLishun, the second, eats yet is never full.\nYuleth, the third, drinks yet is never thirsty.\nGriega, the fourth, sings a song that never ends."""
Q_TOTED_WHITE_GHOST,"[i]Small, rough letters on the floor beneath the spirit read, ""Griega."" The apparition holds her hands out to you.[/i]\n\nWhich ethereal weapon do you offer?"
Q_TOTED_BLUE_GHOST,"[i]Small, rough letters on the floor beneath the spirit read, ""Asha.""[/i]\n\nWhich ethereal weapon do you offer?"
Q_TOTED_RED_GHOST,"[i]Small, rough letters on the floor beneath the spirit read, ""Lishun.""[/i]\n\nWhich ethereal weapon do you offer?"
Q_TOTED_GREEN_GHOST,"[i]Small, rough letters on the floor beneath the spirit read, ""Yuleth.""[/i]\n\nWhich ethereal weapon do you offer?"
Q_TOTED_GHOST_CORRECT,"[i]With a fierce grin, the spirit seizes the weapon from your hands and turns, passing through the doorway in a flash.[/i]\n\nDiscard the token."
Q_TOTED_GHOST_INCORRECT,"[i]The spirit looks at your offering in dismay but takes it anyway, disappearing through the door.[/i]\n\nDiscard the token."

Q_TOTED_FINALE_DOOR,"You can open this door with an ""Open Door"" action.\n\nNote: Any remaining ethereal warriors will be discarded."
Q_TOTED_FINALE_TILES,"Place 31B and 1 end cap. Open both locked doors."
Q_TOTED_FINALE_DRAGON,"Place 1 master Shadow Dragon on 31B, ignoring group limits. This is the Elemental Dragon.\n\nThe Elemental Dragon has bonus Health and activates twice each round."
Q_TOTED_DRAGON_NAME,"Elemental Dragon"
Q_TOTED_DRAGON_DESC,"The Elemental Dragon has bonus Health and activates twice each round."

Q_TOTED_WHITE_TEST,"[i]A sudden vision of open air and a bright blue sky overwhelms you.[/i]\n\nThe hero carrying the Wind Bow tests μ."
Q_TOTED_WHITE_PASS,"[i]You shake off the vision, gripping the bow tightly and steeling yourself to continue onward.[/i]\n\nRecover 1 ∏."
Q_TOTED_WHITE_FAIL,"[i]Following the desire for freedom, you run several strides before you regain control of yourself.[/i]\n\nMove {0} spaces toward the Entrance."

Q_TOTED_BLUE_TEST,"[i]A crushing weight settles about your chest, and you find that you cannot breathe.[/i]\n\nThe hero carrying the Water Shield tests ∂."
Q_TOTED_BLUE_PASS,"[i]With heaving effort, you pull air into your lungs, and the sensation of drowning fades.[/i]\n\nRecover 1 ∏."
Q_TOTED_BLUE_FAIL,"[i]It's all too much. Your struggling is all in vain, and for a moment you give yourself over to a short-lived, peaceful oblivion.[/i]\n\nSuffer {0} ∏."

Q_TOTED_RED_TEST,"[i]Blazing heat lies beneath your skin, and wisps of smoke rise from your clothing.[/i]\n\nThe hero carrying the Fire Flail tests π."
Q_TOTED_RED_PASS,"[i]With a few deep breaths, you calm your nerves, which seems to reduce the vibrating heat within your body.[/i]\n\nRecover 1 ∏."
Q_TOTED_RED_FAIL,"[i]The heat becomes unbearable, and some of your clothing catches fire.[/i]\n\nYou are Burning and suffer {0} ≥."

Q_TOTED_GREEN_TEST,"[i]You stare in horror at the cut stone of the walls and floor of the temple, suddenly in full knowledge of the horror and suffering of the land from which it was torn.[/i]\n\nThe hero carrying the Earth Wand tests ∑."
Q_TOTED_GREEN_PASS,"[i]You shake off the sensation as best you can, though quite uneasy about the vision's implication.[/i]\n\nRecover 1 ∏."
Q_TOTED_GREEN_FAIL,"[i]You pray that someday you may be able to forget the wretched agony and the screams uttered by the spirit of the earth.[/i]\n\nYou are Stunned and suffer {0} ≥."

Q_TOTED_REINFORCE,"Place 2 {0} on 12B."

Q_TOTED_FINALE_FLAVOR,"[i]A massive dragon lounges in the center of a chamber filled with riches. The beast lifts its head as the door booms open. With an echoing battle cry, the spirits flow forward, surrounding the beast."
Q_TOTED_FINALE_WHITE,"[i]The spirit with the bow glides high into the chamber, releasing gales of howling wind into the wretched beast.[/i]\n\nThe dragon suffers 5 ≥ and is Immobilized."
Q_TOTED_FINALE_BLUE,"[i]The dragon rears back and snaps forward, releasing a jet of flame. The warrior carrying the shield dives forward, intercepting the blast and absorbing it entirely. Bracing behind the shield, the warrior lurches backward as a cloud of golden steam blazes back toward the beast, who bellows in agony as it is enveloped.[/i]\n\nThe dragon suffers 5 ≥ and is Stunned."
Q_TOTED_FINALE_RED,"[i]White flame dances around the flail as the warrior charges forward. Ducking slashes from the dragon's claws, the warrior scores several hits upon the dragon's hide, each of which bursts into a terrible blaze.[/i]\n\nThe dragon suffers 5 ≥ and is Burning."
Q_TOTED_FINALE_GREEN,"[i]The warrior with the wand flicks her wrist, and glowing green vines burst from the ground beneath the dragon. As the vines lash the dragon, you can see vicious thorns upon them, dripping with a glowing venom.[/i]\n\nThe dragon suffers 5 ≥ and is Poisoned."
Q_TOTED_SOME_ATTACK,"[i]Their power exhausted, the ethereal warriors sink into the four columns at the corners of the room. The rest, it would seem, is up to you.[/i]"
Q_TOTED_NONE_ATTACK,"[i]The warriors attempt to swarm around the dragon, but lacking proper armaments, they are unable to do much. The dragon begins to toy with them, swatting them around the room until each of the spirits appears exhausted. Having done almost nothing, they slowly fade away and disappear as the dragon turns to face you."
Q_TOTED_BAD_ATTACK,"[i]Some of the spirits seem unfamiliar with the equipment, wielding the relics without the finesse of their fellows. They fight valiantly, however, supporting the other spirits and scoring a few good hits of their own.[/i]\n\nThe Elemental Dragon suffers {0} ≥."
Q_TOTED_WIN,"[i]With a final strike, the dragon releases a bellow and falls with a tremendous crash. As the dragon grows still, a deep rumble continues beneath your feet, growing in its intensity. In spite of the vast riches all around, you manage to grab only a little before you're forced to flee from the temple crashing down around you.[/i]\n\nYou win!"

Q_TOTED_OBJECTIVE_1,"Explore the temple to find the dragon."
Q_TOTED_OBJECTIVE_2,"Provide the warriors with weapons or proceed forward to face the dragon."
Q_TOTED_OBJECTIVE_3,"Defeat the dragon."

Q_TOTED_SEARCH_1,"[i]A small copper chest lies at the base of the stairs."
Q_TOTED_SEARCH_2,"[i]A small hidden compartment is set into the wall."
Q_TOTED_SEARCH_3,"[i]An object is perched on the edge of the pool in a precarious manner."
Q_TOTED_SEARCH_4,"[i]Discarded workshop equipment is stacked in the corner."
Q_TOTED_SEARCH_5,"[i]Some of the objects hoarded by the dragon lie in a pile."
Q_TOTED_SEARCH_TRAP,"[i]A quite voice whispers a frantic incantation above you. You glance up just in time to see a jet of fire descending upon you![/i]\n\nThe hero who searched tests μ or ∑. If he fails, he suffers 1 ≥ and is Burning."

//Quest: The Demon Hive
Q_TDH_MAP,"[u]The Demon Hive[/u]\n\n[i]Some kind of horrid nest has appeared in a nearby valley. Local authorities have asked you to look into the matter and examine the threat it poses."
Q_TDH_LOSE,"[i]You pass through a very long night in the dark of this wretched place. Hunted at every turn, you slay dozens of the vicious creatures only to be assault by a score of others. Eventually, you manage to find a way out, but the wounds you sustained make for very slow progress. By the time you deliver your report, the infestation may be quite out of hand."
